Subaru Outback,$ 19 000,"2015 г., 2.5 л., вариатор,,,,универсал, бензин,,руль слева, 138 000 км",https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg
Lexus ES,$ 37 500,"2018 г., 2.5 л., вариатор,,,,седан, гибрид,,руль слева, 172 000 км",https://im.mashina.kg/tachka/images//b/6/2/b6288ca0ede09d90a361737c1c06566e_240x180.jpg
Hyundai Sonata,$ 9 000,"2010 г., 2 л., автомат,,,,седан, газ,,руль слева, 258 000 км",https://im.mashina.kg/tachka/images//c/8/3/c8396fe18d167c11ecd45c7cce27e841_240x180.jpg
Toyota Land Cruiser,$ 25 500,"2005 г., 4.7 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 180 000 км",https://im.mashina.kg/tachka/images//0/6/0/060c31db5fa08cb7f341a00a48c9a097_240x180.jpg
Honda Stepwgn,$ 11 700,"2003 г., 2 л., автомат,,,,минивэн, бензин,,руль справа",https://im.mashina.kg/tachka/images//4/d/c/4dccda59050cb6e07093033cb9def2b4_240x180.jpg
Toyota 4Runner,$ 38 000,"2016 г., 4 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 83 300 км",https://im.mashina.kg/tachka/images//f/7/c/f7c8bf44bb634365f3ab96465ed538ff_240x180.jpg
Kia Sorento,$ 25 000,"2016 г., 2.2 л., автомат,,,,внедорожник 5 дв., дизель,,руль слева",https://im.mashina.kg/tachka/images//d/e/c/decf5f82b5e113091d04b18a240c130a_240x180.jpg
Toyota Camry,$ 16 500,"2016 г., 2.5 л., автомат,,,,седан, бензин,,руль слева, 90 000 км",https://im.mashina.kg/tachka/images//d/1/a/d1ade9e32f00a7bf25016abb399d8112_240x180.jpg
Honda Stream,$ 6 999,"2002 г., 2 л., автомат,,,,компактвэн, бензин,,руль слева, 313 000 км",https://im.mashina.kg/tachka/images//e/b/f/ebfe4541f583caec3f4d6964eb938c9d_240x180.jpg
Lexus RX,$ 32 000,"2015 г., 3.5 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 150 000 км",https://im.mashina.kg/tachka/images//b/e/0/be01b48771cf1d14332d996f4da25c16_240x180.jpg
Jeep Liberty (North America),$ 9 300,"2007 г., 3.7 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева",https://im.mashina.kg/tachka/images//0/c/7/0c73e031f3b34caaf6265ab16cb4b4d5_240x180.jpg
Toyota Camry,$ 17 500,"2015 г., 2.5 л., автомат,,,,седан, бензин,,руль слева, 150 000 км",https://im.mashina.kg/tachka/images//5/8/a/58a60c2e2832d6baccedc2569926bce5_240x180.jpg
Mercedes-Benz S-класс,$ 85 000,"2018 г., 2.9 л., автомат,,,,седан, дизель,,руль слева, 100 000 км",https://im.mashina.kg/tachka/images//6/d/2/6d2b5391ccec64da27c65860494ecf05_240x180.jpg
Mercedes-Benz E-класс,$ 7 500,"2000 г., 2.7 л., автомат,,,,седан, дизель,,руль слева",https://im.mashina.kg/tachka/images//d/c/5/dc5d9dc3a7d301f6aeee94e4eab42213_240x180.jpg
Volkswagen Polo,$ 10 700,"2015 г., 1.4 л., робот,,,,хэтчбек 5 дв., дизель,,руль слева, 107 000 км",https://im.mashina.kg/tachka/images//3/e/3/3e32b162931cf52294b3e28e4c0bd6b3_240x180.jpg
Kia Sorento,$ 26 000,"2015 г., 2 л., автомат,,,,внедорожник 5 дв., дизель,,руль слева, 172 000 км",https://im.mashina.kg/tachka/images//3/7/b/37b93ef4c7c4e186c1d2f414ea59ca8b_240x180.jpg
Toyota Camry,$ 33 000,"2019 г., 2.5 л., вариатор,,,,седан, гибрид,,руль слева, 48 600 км",https://im.mashina.kg/tachka/images//5/e/3/5e3ad5f4faa986f0920fd5189e071ec8_240x180.jpg
BMW 3 Серия,$ 5 500,"1985 г., 2.7 л., механика,,,,седан, бензин,,руль слева, 300 000 км",https://im.mashina.kg/tachka/images//8/4/c/84cd81aa68957721951c945eac99dbdf_240x180.jpg
Toyota Alphard,$ 15 500,"2007 г., 3 л., автомат,,,,минивэн, бензин,,руль справа, 128 000 км",https://im.mashina.kg/tachka/images//5/e/c/5ecc8cbc1bf1550a9b086770a6793401_240x180.jpg
BMW X5,$ 125 000,"2021 г., 4.4 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 15 000 км",https://im.mashina.kg/tachka/images//1/d/2/1d23b63682a6d1d77910ce0394425eb8_240x180.jpg
Subaru Outback,$ 19 000,"2015 г., 2.5 л., вариатор,,,,универсал, бензин,,руль слева, 138 000 км",https://im.mashina.kg/tachka/images//1/3/c/13cbb48400c72fe20e3d1da634b7b3f1_240x180.jpg
Lexus ES,$ 37 500,"2018 г., 2.5 л., вариатор,,,,седан, гибрид,,руль слева, 172 000 км",https://im.mashina.kg/tachka/images//b/6/2/b6288ca0ede09d90a361737c1c06566e_240x180.jpg
Hyundai Sonata,$ 9 000,"2010 г., 2 л., автомат,,,,седан, газ,,руль слева, 258 000 км",https://im.mashina.kg/tachka/images//c/8/3/c8396fe18d167c11ecd45c7cce27e841_240x180.jpg
Toyota Land Cruiser,$ 25 500,"2005 г., 4.7 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 180 000 км",https://im.mashina.kg/tachka/images//0/6/0/060c31db5fa08cb7f341a00a48c9a097_240x180.jpg
Honda Stepwgn,$ 11 700,"2003 г., 2 л., автомат,,,,минивэн, бензин,,руль справа",https://im.mashina.kg/tachka/images//4/d/c/4dccda59050cb6e07093033cb9def2b4_240x180.jpg
Toyota 4Runner,$ 38 000,"2016 г., 4 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 83 300 км",https://im.mashina.kg/tachka/images//f/7/c/f7c8bf44bb634365f3ab96465ed538ff_240x180.jpg
Kia Sorento,$ 25 000,"2016 г., 2.2 л., автомат,,,,внедорожник 5 дв., дизель,,руль слева",https://im.mashina.kg/tachka/images//d/e/c/decf5f82b5e113091d04b18a240c130a_240x180.jpg
Toyota Camry,$ 16 500,"2016 г., 2.5 л., автомат,,,,седан, бензин,,руль слева, 90 000 км",https://im.mashina.kg/tachka/images//d/1/a/d1ade9e32f00a7bf25016abb399d8112_240x180.jpg
Honda Stream,$ 6 999,"2002 г., 2 л., автомат,,,,компактвэн, бензин,,руль слева, 313 000 км",https://im.mashina.kg/tachka/images//e/b/f/ebfe4541f583caec3f4d6964eb938c9d_240x180.jpg
Lexus RX,$ 32 000,"2015 г., 3.5 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 150 000 км",https://im.mashina.kg/tachka/images//b/e/0/be01b48771cf1d14332d996f4da25c16_240x180.jpg
Jeep Liberty (North America),$ 9 300,"2007 г., 3.7 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева",https://im.mashina.kg/tachka/images//0/c/7/0c73e031f3b34caaf6265ab16cb4b4d5_240x180.jpg
Toyota Camry,$ 17 500,"2015 г., 2.5 л., автомат,,,,седан, бензин,,руль слева, 150 000 км",https://im.mashina.kg/tachka/images//5/8/a/58a60c2e2832d6baccedc2569926bce5_240x180.jpg
Mercedes-Benz S-класс,$ 85 000,"2018 г., 2.9 л., автомат,,,,седан, дизель,,руль слева, 100 000 км",https://im.mashina.kg/tachka/images//6/d/2/6d2b5391ccec64da27c65860494ecf05_240x180.jpg
Mercedes-Benz E-класс,$ 7 500,"2000 г., 2.7 л., автомат,,,,седан, дизель,,руль слева",https://im.mashina.kg/tachka/images//d/c/5/dc5d9dc3a7d301f6aeee94e4eab42213_240x180.jpg
Volkswagen Polo,$ 10 700,"2015 г., 1.4 л., робот,,,,хэтчбек 5 дв., дизель,,руль слева, 107 000 км",https://im.mashina.kg/tachka/images//3/e/3/3e32b162931cf52294b3e28e4c0bd6b3_240x180.jpg
Kia Sorento,$ 26 000,"2015 г., 2 л., автомат,,,,внедорожник 5 дв., дизель,,руль слева, 172 000 км",https://im.mashina.kg/tachka/images//3/7/b/37b93ef4c7c4e186c1d2f414ea59ca8b_240x180.jpg
Toyota Camry,$ 33 000,"2019 г., 2.5 л., вариатор,,,,седан, гибрид,,руль слева, 48 600 км",https://im.mashina.kg/tachka/images//5/e/3/5e3ad5f4faa986f0920fd5189e071ec8_240x180.jpg
BMW 3 Серия,$ 5 500,"1985 г., 2.7 л., механика,,,,седан, бензин,,руль слева, 300 000 км",https://im.mashina.kg/tachka/images//8/4/c/84cd81aa68957721951c945eac99dbdf_240x180.jpg
Toyota Alphard,$ 15 500,"2007 г., 3 л., автомат,,,,минивэн, бензин,,руль справа, 128 000 км",https://im.mashina.kg/tachka/images//5/e/c/5ecc8cbc1bf1550a9b086770a6793401_240x180.jpg
BMW X5,$ 125 000,"2021 г., 4.4 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева, 15 000 км",https://im.mashina.kg/tachka/images//1/d/2/1d23b63682a6d1d77910ce0394425eb8_240x180.jpg
Mercedes-Benz S-класс,$ 18 000,"2006 г., 5.5 л., автомат,,,,седан, бензин,,руль слева, 200 000 км",https://im.mashina.kg/tachka/images//0/4/9/049b48d2be8fd60043ae1d30bf1840fd_240x180.jpg
Lexus NX,$ 39 400,"2017 г., 2.5 л., вариатор,,,,внедорожник 5 дв., гибрид,,руль слева, 39 500 км",https://im.mashina.kg/tachka/images//b/4/0/b40aea724bbdf23cd9b4a24a9f541c5b_240x180.jpg
Toyota Land Cruiser,$ 20 000,"2001 г., 4.2 л., автомат,,,,внедорожник 5 дв., дизель,,руль слева",https://im.mashina.kg/tachka/images//1/0/6/1062615a06309b8088bc2e5ca34eac0a_240x180.jpg
Toyota Camry,$ 9 350,"2004 г., 3 л., автомат,,,,седан, бензин,,руль слева, 350 000 км",https://im.mashina.kg/tachka/images//9/8/2/9820aa16505e2e8a5934bfcc681a9c6b_240x180.jpg
Toyota Camry,$ 26 999,"2018 г., 2.5 л., автомат,,,,седан, бензин,,руль слева, 65 000 км",https://im.mashina.kg/tachka/images//2/9/5/2952c38b5ecf49e6b2e32b2767238c03_240x180.jpg
BMW 5 Серия,$ 13 500,"2005 г., 3 л., автомат,,,,седан, бензин,,руль слева, 194 700 км",https://im.mashina.kg/tachka/images//1/7/e/17e67932691f5e81964c5652824789b9_240x180.jpg
Toyota Crown,$ 10 700,"2004 г., 3 л., автомат,,,,седан, бензин,,руль справа, 250 000 км",https://im.mashina.kg/tachka/images//2/0/8/208ccedbc19977054552ae248ae24044_240x180.jpg
Toyota Raum,$ 7 000,"2003 г., 1.5 л., автомат,,,,компактвэн, бензин,,руль справа, 170 000 км",https://im.mashina.kg/tachka/images//d/6/4/d64ee71c28144608e9abdadaff5ee169_240x180.jpg
Honda Odyssey,$ 6 999,"2002 г., 2.3 л., автомат,,,,минивэн, бензин,,руль справа",https://im.mashina.kg/tachka/images//9/7/5/97530f870e822b34b711fb2eeec87b82_240x180.jpg
BMW 5 Серия,$ 43 000,"2018 г., 3 л., автомат,,,,седан, бензин,,руль слева",https://im.mashina.kg/tachka/images//8/a/6/8a6259ead32c1c2875e4c137a9edabff_240x180.jpg
Mazda Demio,$ 6 000,"2005 г., 1.3 л., автомат,,,,хэтчбек 5 дв., бензин,,руль справа, 170 000 км",https://im.mashina.kg/tachka/images//4/6/6/4667c0a0130c4eddb22f773b372ec8b5_240x180.jpg
Toyota Land Cruiser,$ 55 000,"2013 г., 4.6 л., автомат,,,,внедорожник 5 дв., бензин,,руль слева",https://im.mashina.kg/tachka/images//6/c/6/6c6e9c17220ab3f40bac6593d4227f94_240x180.jpg
Toyota Camry,$ 37 000,"2021 г., 2.5 л., автомат,,,,седан, бензин,,руль слева, 10 000 км",https://im.mashina.kg/tachka/images//f/4/5/f45e3113bbc671e5a88ba35b43467164_240x180.jpg
Toyota Highlander,$ 55 000,"2021 г., 2.5 л., автомат,,,,внедорожник 5 дв., гибрид,,руль слева, 21 000 км",https://im.mashina.kg/tachka/images//a/3/c/a3c2780a0ef38c205d7a5352ffd3fbbb_240x180.jpg
Toyota Windom,$ 7 800,"2001 г., 2.5 л., автомат,,,,седан, бензин,,руль справа, 305 000 км",https://im.mashina.kg/tachka/images//0/7/3/07322afc3ea3dae9231dbe812d4a2c1b_240x180.jpg
Toyota Camry,$ 10 700,"2006 г., 2.4 л., автомат,,,,седан, бензин,,руль слева, 160 256 км",https://im.mashina.kg/tachka/images//2/e/8/2e8a985480aeb774a23355c1c9bad1cf_240x180.jpg
BMW 3 Серия,$ 10 900,"2003 г., 2.2 л., автомат,,,,седан, бензин,,руль слева, 97 000 км",https://im.mashina.kg/tachka/images//5/d/3/5d3321ff248f6c525a697ac847f7e46c_240x180.jpg
BAIC EC3,$ 13 473,"2021 г., автомат,,,,хэтчбек 5 дв., электро,,руль слева, 14 073 км",https://im.mashina.kg/tachka/images//9/0/5/905cbebbce4181ed446903294078894f_240x180.jpg
Toyota Prius c,$ 11 600,"2016 г., 1.5 л., вариатор,,,,хэтчбек 5 дв., гибрид,,руль слева, 205 000 км",https://im.mashina.kg/tachka/images//4/d/2/4d2c6bda6e4f8bafdafe37e58ea11f3e_240x180.jpg
Hyundai Santa Fe,$ 22 500,"2016 г., 2 л., автомат,,,,внедорожник 5 дв., дизель,,руль слева, 120 000 км",https://im.mashina.kg/tachka/images//9/4/b/94b02c4d734e387ed40b0a5c556f9a6f_240x180.jpg
Hyundai Santa Fe,$ 23 000,"2017 г., 2 л., автомат,,,,внедорожник 5 дв., дизель,,руль слева, 120 000 км",https://im.mashina.kg/tachka/images//6/0/6/606c078a7888b947d86b4f0cbc167df0_240x180.jpg
